subset;df;p;q;d
['NAIVE', 'SGD'];0.0;-0.55;-1.0;0.73
['NAIVE', 'SVC'];0.0;-0.48;-1.0;0.69
['LR', 'NAIVE'];0.01;-0.41;-0.94;0.65
['NAIVE', 'SGD', 'SVC'];0.06;-0.08;-0.34;0.5
['CART', 'NAIVE', 'SGD'];0.0;;-0.33;0.49
['NAIVE', 'SGD', 'EXTRA'];0.0;;-0.33;0.49
['CART', 'NAIVE', 'SVC'];0.0;;-0.33;0.46
['NAIVE', 'SVC', 'EXTRA'];0.0;;-0.33;0.46
['LR', 'NAIVE', 'SGD'];0.05;-0.08;-0.32;0.49
['LR', 'CART', 'NAIVE'];0.0;;-0.31;0.44
['LR', 'NAIVE', 'EXTRA'];0.0;;-0.31;0.44
['SGD', 'MLP'];0.02;-0.08;-0.31;0.34
['LR', 'NAIVE', 'SVC'];0.05;-0.0;-0.31;0.46
['NAIVE', 'SGD', 'MLP'];0.05;-0.11;-0.18;0.49
['CART', 'NAIVE', 'SGD', 'EXTRA'];0.0;;-0.17;0.37
