subset;df;p;q;d
['NAIVE', 'SGD'];0.0;-0.63;-1.0;0.78
['NAIVE', 'SVC'];0.0;-0.4;-1.0;0.61
['LR', 'NAIVE'];0.01;-0.25;-0.87;0.52
['NAIVE', 'KNN'];0.01;-0.14;-0.7;0.47
['NAIVE', 'KNN', 'SGD'];0.01;-0.21;-0.39;0.53
['NAIVE', 'SGD', 'SVC'];0.05;-0.17;-0.35;0.53
['LR', 'NAIVE', 'KNN'];0.01;-0.09;-0.34;0.37
['CART', 'NAIVE', 'SGD'];0.0;;-0.33;0.52
['NAIVE', 'SGD', 'EXTRA'];0.0;;-0.33;0.52
['CART', 'NAIVE', 'SVC'];0.0;;-0.33;0.41
['NAIVE', 'SVC', 'EXTRA'];0.0;;-0.33;0.41
['LR', 'NAIVE', 'SGD'];0.03;-0.16;-0.31;0.52
['LR', 'CART', 'NAIVE'];0.0;;-0.29;0.35
['LR', 'NAIVE', 'EXTRA'];0.0;;-0.29;0.35
['LR', 'NAIVE', 'SVC'];0.03;0.0;-0.29;0.41
