['LR', 'CART'];0.0;nan;0.0;0.14
['LR', 'NAIVE'];0.01;-0.35;-0.91;0.61
['LR', 'KNN'];0.02;0.23;0.79;0.14
['LR', 'SGD'];0.01;-0.35;-0.91;0.61
['LR', 'SVC'];0.13;0.78;0.99;0.06
['LR', 'MLP'];0.02;-0.02;-0.07;0.24
['LR', 'EXTRA'];0.0;nan;0.0;0.14
['CART', 'NAIVE'];0.0;nan;0.0;0.49
['CART', 'KNN'];0.0;nan;0.0;0.04
['CART', 'SGD'];0.0;nan;0.0;0.49
['CART', 'SVC'];0.0;nan;0.0;0.18
['CART', 'MLP'];0.0;nan;0.0;0.13
['CART', 'EXTRA'];0.0;nan;0.0;0.0
['NAIVE', 'KNN'];0.01;-0.06;-0.32;0.5
['NAIVE', 'SGD'];0.49;1.0;1.0;0.0
['NAIVE', 'SVC'];0.0;-0.46;-1.0;0.67
['NAIVE', 'MLP'];0.11;0.29;0.8;0.39
['NAIVE', 'EXTRA'];0.0;nan;0.0;0.49
['KNN', 'SGD'];0.01;-0.06;-0.32;0.5
['KNN', 'SVC'];0.02;0.25;0.82;0.17
['KNN', 'MLP'];0.02;0.25;0.82;0.12
['KNN', 'EXTRA'];0.0;nan;0.0;0.04
['SGD', 'SVC'];0.0;-0.46;-1.0;0.67
['SGD', 'MLP'];0.11;0.29;0.8;0.39
['SGD', 'EXTRA'];0.0;nan;0.0;0.49
['SVC', 'MLP'];0.02;-0.05;-0.22;0.28
['SVC', 'EXTRA'];0.0;nan;0.0;0.18
['MLP', 'EXTRA'];0.0;nan;0.0;0.13
['LR', 'CART', 'NAIVE'];0.0;nan;-0.3;0.41
['LR', 'CART', 'KNN'];0.01;nan;0.26;0.11
['LR', 'CART', 'SGD'];0.0;nan;-0.3;0.41
['LR', 'CART', 'SVC'];0.04;nan;0.33;0.13
['LR', 'CART', 'MLP'];0.01;nan;-0.02;0.17
['LR', 'CART', 'EXTRA'];0.0;nan;0.0;0.1
['LR', 'NAIVE', 'KNN'];0.01;-0.06;-0.15;0.42
['LR', 'NAIVE', 'SGD'];0.17;0.1;-0.27;0.41
['LR', 'NAIVE', 'SVC'];0.05;-0.01;-0.31;0.45
['LR', 'NAIVE', 'MLP'];0.05;-0.02;-0.06;0.41
['LR', 'NAIVE', 'EXTRA'];0.0;nan;-0.3;0.41
['LR', 'KNN', 'SGD'];0.01;-0.06;-0.15;0.42
['LR', 'KNN', 'SVC'];0.06;0.42;0.87;0.12
['LR', 'KNN', 'MLP'];0.02;0.16;0.51;0.17
['LR', 'KNN', 'EXTRA'];0.01;nan;0.26;0.11
['LR', 'SGD', 'SVC'];0.05;-0.01;-0.31;0.45
['LR', 'SGD', 'MLP'];0.05;-0.02;-0.06;0.41
['LR', 'SGD', 'EXTRA'];0.0;nan;-0.3;0.41
['LR', 'SVC', 'MLP'];0.05;0.24;0.23;0.19
['LR', 'SVC', 'EXTRA'];0.04;nan;0.33;0.13
['LR', 'MLP', 'EXTRA'];0.01;nan;-0.02;0.17
['CART', 'NAIVE', 'KNN'];0.0;nan;-0.11;0.34
['CART', 'NAIVE', 'SGD'];0.16;nan;0.33;0.32
['CART', 'NAIVE', 'SVC'];0.0;nan;-0.33;0.44
['CART', 'NAIVE', 'MLP'];0.04;nan;0.27;0.33
['CART', 'NAIVE', 'EXTRA'];0.0;nan;0.0;0.32
['CART', 'KNN', 'SGD'];0.0;nan;-0.11;0.34
['CART', 'KNN', 'SVC'];0.01;nan;0.27;0.13
['CART', 'KNN', 'MLP'];0.01;nan;0.27;0.1
['CART', 'KNN', 'EXTRA'];0.0;nan;0.0;0.02
['CART', 'SGD', 'SVC'];0.0;nan;-0.33;0.44
